Practice Name,Address,Phone,Website
McCrae Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/national-dental-care---mccrae-dental-surgery/A11003656
Integrated Smiles Bendigo,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/integrated-smiles-bendigo/A11003669
Clarity Dental,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/clarity-dental/A14012227
Bendigo Dental Implants,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-dental-implants/A12010644
Dental Innovations on Condon,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/dental-innovations-on-condon/A12010645
Dental Innovations on Sternberg,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/dental-innovations-on-sternberg/A11002904
Bendigo Smiles,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-smiles/A11010342
Pacific Smiles Dental Bendigo,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/pacific-smiles-dental-bendigo/A12011095
Bee Happy Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/bee-happy-orthodontics/A11000783
Martin Vale Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/martin-vale-dentistry/A11003667
Bendigo Health Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-health-dental-clinic/A11005828
Bendigo Family Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-family-dental-care/A20015880
448 Dental,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/448-dental/A11003655
Camberwell Endodontics,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/camberwell-endodontics/A20016425
Bendigo Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-dental-group/A14011938
Dr Ian Poker - Oral and Maxillofacial Surgeon,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/dr-ian-poker---oral-and-maxillofacial-surgeon/A11003659
Kennington Dental,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/kennington-dental/A16013827
Wills St Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/wills-st-dental-surgery/A11003666
Arnold Street Dental Practice,,,https://www.dentist.com.au/dentist-detail/vic/bendigo/arnold-street-dental-practice/A11000138
Palm Square Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/kennington/palm-square-dental-care/A11003657
Sunraysia Community Health Services Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/mildura/sunraysia-community-health-services-dental-clinic/A14012211
Danenberg Dental,,,https://www.dentist.com.au/dentist-detail/vic/mildura/danenberg-dental/A11000309
Deakin Orthodontic Specialists,,,https://www.dentist.com.au/dentist-detail/vic/mildura/deakin-orthodontic-specialists/A11003561
Tankard Dental,,,https://www.dentist.com.au/dentist-detail/vic/mildura/tankard-dental/A11000079
Mildura Family Dental,,,https://www.dentist.com.au/dentist-detail/vic/mildura/mildura-family-dental/A12011258
Lime Dental,,,https://www.dentist.com.au/dentist-detail/vic/mildura/lime-dental/A11003559
Chisholm Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/mildura/chisholm-orthodontics/A11002404
Somerset Dental Care,,,https://www.dentist.com.au/dentist-detail/nsw/narellan/somerset-dental-care/A11000308
Tankard Dental,,,https://www.dentist.com.au/dentist-detail/vic/red-cliffs/tankard-dental/A12011259
Mooroopna Family Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/mooroopna/mooroopna-family-dental-care/A11003735
Riverview Dental,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/riverview-dental/A11003732
Goulburn Valley Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/goulburn-valley-orthodontics/A13011791
Goulburn Valley Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/goulburn-valley-dental-group/A20015898
Knight Street Dentists,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/knight-street-dentists/A11003733
Welsford Dental,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/welsford-dental/A16014270
Adina's Dental Cosmetics,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/adinas-dental-cosmetics/A11003728
National Dental Care Shepparton,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/national-dental-care-shepparton/A11000845
Bass Coast Health Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/bass-coast-health-dental-clinic/A11009349
Maude Street Dental,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/maude-street-dental/A11003731
The Perio Group,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/the-perio-group/A20016422
Goulburn Valley Health Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/shepparton/goulburn-valley-health-dental-clinic/A11009496
McLennan Street Dental,,,https://www.dentist.com.au/dentist-detail/vic/mooroopna/mclennan-street-dental/A11010414
Tatura Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/tatura/tatura-dental-care/A11003734
Nash Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/benalla/nash-orthodontics/A11003720
Dr Stuart Jones' Dental Rooms,,,https://www.dentist.com.au/dentist-detail/vic/benalla/dr-stuart-jones-dental-rooms/A11003041
Alliance Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/benalla/alliance-dental-group/A24019706
Northeast Health Benalla Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/benalla/northeast-health-benalla-dental-clinic/A21016874
NCN Health Numurkah Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/numurkah/ncn-health-numurkah-dental-clinic/A22018157
Goulburn Valley Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/numurkah/goulburn-valley-dental-group/A20015899
Gunditjmara Aboriginal Cooperative Health Service,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/gunditjmara-aboriginal-cooperative-health-service/A21016844
Ladybay Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/ladybay-dental-clinic/A11003688
Raglan Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/raglan-dental-clinic/A14012131
My Dentist Warrnambool,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/my-dentist-warrnambool/A11003689
Warrnambool Dental,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/warrnambool-dental/A11010347
Duthy Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/duthy-orthodontics/A16013970
Barlow Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/barlow-dental-group/A20016042
Wilde Dental,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/wilde-dental/A11003690
Dr Davies Dental Practice,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/dr-davies-dental-practice/A20016023
South West Healthcare Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/warrnambool/south-west-healthcare-dental-clinic/A17014763
Illumident,,,https://www.dentist.com.au/dentist-detail/vic/port-fairy/illumident/A17014576
Hanks Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/port-fairy/hanks-orthodontics/A22017724
Ladybay Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/terang/ladybay-dental-clinic/A21016964
Barlow Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/timboon/barlow-dental-group/A20016357
Signature Smile Studio,,,https://www.dentist.com.au/dentist-detail/vic/frankston/signature-smile-studio/A17014568
Seaford Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/seaford/seaford-dental-group/A11003311
Core Dental Carrum Downs,,,https://www.dentist.com.au/dentist-detail/vic/carrum-downs/core-dental-carrum-downs/A16013892
Totally Smiles Frankston,,,https://www.dentist.com.au/dentist-detail/vic/frankston/totally-smiles-frankston/A21016497
Karingal Drive Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/frankston/karingal-drive-dental-clinic/A11002660
Beachside Complete Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/frankston/beachside-complete-dental-care/A11003299
Dentist James Peter,,,https://www.dentist.com.au/dentist-detail/vic/frankston/dentist-james-peter/A11006208
National Dental Care Frankston,,,https://www.dentist.com.au/dentist-detail/vic/frankston/national-dental-care-frankston/A18015080
Heatherhill Dental,,,https://www.dentist.com.au/dentist-detail/vic/frankston/heatherhill-dental/A11003297
Peninsula Gateway Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/frankston/peninsula-gateway-dental-group/A14011930
Dr Yim Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/frankston/dr-yim-dental-surgery/A11003315
Dental & Dentures on 88 Beach,,,https://www.dentist.com.au/dentist-detail/vic/frankston/dental-and-dentures-on-88-beach/A21016756
Primary Dental Frankston,,,https://www.dentist.com.au/dentist-detail/vic/frankston/primary-dental-frankston/A11002703
Bayside Perio,,,https://www.dentist.com.au/dentist-detail/vic/frankston/bayside-perio/A11005952
Peninsula Health Community Dental Service - Frankston,,,https://www.dentist.com.au/dentist-detail/vic/frankston/peninsula-health-community-dental-service---frankston/A11007686
Straight Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/frankston/straight-orthodontics/A24019717
Michael Hase Oral and Maxillofacial Surgeon,,,https://www.dentist.com.au/dentist-detail/vic/frankston/michael-hase-oral-and-maxillofacial-surgeon/A11002809
Dr Martin Levy,,,https://www.dentist.com.au/dentist-detail/vic/frankston/dr-martin-levy/A11003308
Frank Dental,,,https://www.dentist.com.au/dentist-detail/vic/frankston/frank-dental/A11005950
Central Dental Frankston,,,https://www.dentist.com.au/dentist-detail/vic/frankston/central-dental-frankston/A11003300
The Dentist's Chair,,,https://www.dentist.com.au/dentist-detail/vic/frankston/the-dentists-chair/A11007606
Cranbourne Road Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/frankston/cranbourne-road-dental-care/A11005948
Dental Smile Frankston,,,https://www.dentist.com.au/dentist-detail/vic/frankston/dental-smile-frankston/A11003034
Dr Peter Scott Orthodontist,,,https://www.dentist.com.au/dentist-detail/vic/frankston/dr-peter-scott-orthodontist/A11000645
Frankston Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/frankston/frankston-dental-group/A11003193
Pacific Smiles Dental Frankston,,,https://www.dentist.com.au/dentist-detail/vic/frankston/pacific-smiles-dental-frankston/A22017931
Dr Geoffrey Wexler Specialist Orthodontist,,,https://www.dentist.com.au/dentist-detail/vic/frankston/dr-geoffrey-wexler-specialist-orthodontist/A11001459
Total Care Dental,,,https://www.dentist.com.au/dentist-detail/vic/frankston/total-care-dental/A11009761
Advanced Dental Specialists,,,https://www.dentist.com.au/dentist-detail/vic/frankston/advanced-dental-specialists/A13011630
Dr Eda Franco - Paediatric Dentist,,,https://www.dentist.com.au/dentist-detail/vic/frankston/dr-eda-franco---paediatric-dentist/A11006091
Frankston City Dental,,,https://www.dentist.com.au/dentist-detail/vic/frankston/frankston-city-dental/A17014531
Frankston Specialist Endodontics,,,https://www.dentist.com.au/dentist-detail/vic/frankston/frankston-specialist-endodontics/A11003307
Dandenong Smile Health,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/dandenong-smile-health/A11003317
Balanced Smiles,,,https://www.dentist.com.au/dentist-detail/vic/dandenong-north/balanced-smiles/A25019890
Endeavour Hills Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/endeavour-hills/endeavour-hills-dental-clinic/A13011318
Orthodontic Specialists of Melbourne,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/orthodontic-specialists-of-melbourne/A11003320
Andrew McDonald Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/andrew-mcdonald-orthodontics/A11004085
Monash Health Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/monash-health-dental-clinic/A17014370
Dandenong Implant Centre,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/dandenong-implant-centre/A23018623
Dr Zainab Hamudi - Prosthodontist,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/dr-zainab-hamudi---prosthodontist/A14012335
Dandenong Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/dandenong-dental-care/A11005869
DG Dental,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/dg-dental/A14012194
Pedram Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/pedram-dental-clinic/A20015949
Family Medical and Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/family-medical-and-dental-clinic/A13011499
Monash Health Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/monash-health-dental-clinic/A21016890
Barclay Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/barclay-dental-surgery/A11005867
Cleeland Dental,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/cleeland-dental/A11003316
Anthony Brown Dental,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/anthony-brown-dental/A11003324
Jaafar Abduo Prosthodontics,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/jaafar-abduo-prosthodontics/A23018622
Specialist Endodontists,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/specialist-endodontists/A11002657
Allied Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/allied-dental-care/A16014153
Dr Kevin Lam Dental,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/dr-kevin-lam-dental/A11003319
Dr David Oliver - Oral Medicine Specialist,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/dr-david-oliver---oral-medicine-specialist/A11002707
Monash Private Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/monash-private-dental-clinic/A17014748
EDentist,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/edentist/A11005868
Citra Dandenong Dental,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/citra-dandenong-dental/A11003325
Oral and Maxillofacial Surgery,,,https://www.dentist.com.au/dentist-detail/vic/dandenong/oral-and-maxillofacial-surgery/A11002849
Dunstan Dental & Medical Suites,,,https://www.dentist.com.au/dentist-detail/vic/clayton/dunstan-dental-and-medical-suites/A11002968
SIA Dental,,,https://www.dentist.com.au/dentist-detail/vic/mulgrave/sia-dental/A25020030
Dickson Street Dental,,,https://www.dentist.com.au/dentist-detail/vic/mount-waverley/dickson-street-dental/A11003362
Rock Solid Implants and Dentures,,,https://www.dentist.com.au/dentist-detail/vic/clayton/rock-solid-implants-and-dentures/A25020059
Fix It Now Dental,,,https://www.dentist.com.au/dentist-detail/vic/clayton/fix-it-now-dental/A24019438
Bright Bites Dental,,,https://www.dentist.com.au/dentist-detail/vic/clayton/bright-bites-dental/A11005862
Clayton Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/clayton/clayton-dental-clinic/A18014888
Monash Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/clayton/monash-dental-group/A11002970
Monash Smiles,,,https://www.dentist.com.au/dentist-detail/vic/clayton/monash-smiles/A20016400
Dental 99 Monash,,,https://www.dentist.com.au/dentist-detail/vic/clayton/dental-99-monash/A25019826
655 Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/clayton/655-dental-clinic/A11002964
Link Health and Community Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/clayton/link-health-and-community-dental-clinic/A21016863
Clayton South Dental,,,https://www.dentist.com.au/dentist-detail/vic/clayton-south/clayton-south-dental/A11002967
Clarinda Clinic,,,https://www.dentist.com.au/dentist-detail/vic/clayton-south/clarinda-clinic/A11002981
Oakleigh Dentist,,,https://www.dentist.com.au/dentist-detail/vic/oakleigh/oakleigh-dentist/A11002434
Advanced Smiles,,,https://www.dentist.com.au/dentist-detail/vic/oakleigh-south/advanced-smiles/A21016643
Oral & Facial Surgery Specialists,,,https://www.dentist.com.au/dentist-detail/vic/springvale/oral-and-facial-surgery-specialists/A25019857
Bite Size Paediatric Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/springvale/bite-size-paediatric-dentistry/A25020178
Wellness Dental,,,https://www.dentist.com.au/dentist-detail/vic/oakleigh/wellness-dental/A25020013
North Road Dental Centre,,,https://www.dentist.com.au/dentist-detail/vic/east-bentleigh/north-road-dental-centre/A11003025
Dr Anh Nguyen Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/springvale/dr-anh-nguyen-dental-surgery/A24019472
Springvale Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/springvale/springvale-dental-group/A24019471
Station Square Dental Centre,,,https://www.dentist.com.au/dentist-detail/vic/oakleigh/station-square-dental-centre/A11000563
Camberwell Junction Dental,,,https://www.dentist.com.au/dentist-detail/vic/camberwell/camberwell-junction-dental/A11010250
Camberwell Family Dental,,,https://www.dentist.com.au/dentist-detail/vic/camberwell/camberwell-family-dental/A20015954
With U Dental,,,https://www.dentist.com.au/dentist-detail/vic/hawthorn-east/with-u-dental/A21016822
dhealth Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/camberwell/d-health-dentistry/A11003512
JT Dental,,,https://www.dentist.com.au/dentist-detail/vic/camberwell/jt-dental/A20016388
Camberwell Orthodontic Group,,,https://www.dentist.com.au/dentist-detail/vic/camberwell/camberwell-orthodontic-group/A11003516
Shibata Dental,,,https://www.dentist.com.au/dentist-detail/vic/camberwell/shibata-dental/A11003534
Burwood Junction Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/camberwell/burwood-junction-dental-group/A11006108
Hartwell Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/camberwell/hartwell-dentistry/A11003536
Adawn Dental Studio,"39 Nicholson Street, BRUNSWICK EAST VIC 3057",(03) 9380-1122,
Chapel Gate Dental,"Level 1, 118 Chapel Street, ST KILDA VIC 3182",(03) 9531-3742,
